date,period,value
2020-04-29,2020-03-31,-846268533.42
2020-08-28,2020-06-30,664633599.88
2020-10-30,2020-09-30,132673532.49
2021-03-31,2020-12-31,681269249.67
2021-04-29,2021-03-31,3358398550.56
2021-08-27,2021-06-30,4814154223.97
2021-10-29,2021-09-30,1821287597.79
2022-03-23,2021-12-31,2389995755.95
2022-04-29,2022-03-31,-767002385.84
2022-08-31,2022-06-30,1359152768.32
2022-10-29,2022-09-30,-509404940.26
2023-03-31,2022-12-31,-143299882.42
2023-04-28,2023-03-31,-1147726447.41
2023-08-31,2023-06-30,-269137464.05
2023-10-28,2023-09-30,-1377293657.96
2024-03-30,2023-12-31,-2176928006.11
2024-04-30,2024-03-31,580769733.84
2024-08-30,2024-06-30,-173421998.86
2024-10-31,2024-09-30,392827498.58
2025-04-30,2024-12-31,-1491356941.89
2025-04-30,2025-03-31,708606210.74
2025-08-22,2025-06-30,1291967733.92
2025-10-25,2025-09-30,1265454397.8
