date,period,value
2020-04-29,2020-03-31,456311513.67
2020-08-29,2020-06-30,425269677.28
2020-10-30,2020-09-30,482248345.03
2021-04-30,2020-12-31,430442037.71
2021-04-30,2021-03-31,459152803.2
2021-08-31,2021-06-30,305860907.21
2021-10-30,2021-09-30,322797393.78
2022-04-16,2021-12-31,394973210.05
2022-04-29,2022-03-31,507892938.5
2022-08-30,2022-06-30,428068851.51
2022-10-28,2022-09-30,455509986.62
2023-04-27,2022-12-31,343184803.72
2023-04-27,2023-03-31,340793569.72
2023-08-31,2023-06-30,294685159.32
2023-10-28,2023-09-30,303326106.44
2024-04-27,2023-12-31,228399849.56
2024-04-27,2024-03-31,225460797.95
2024-08-31,2024-06-30,208368537.19
2024-10-31,2024-09-30,189692303.02
2025-04-25,2024-12-31,142205198.28
2025-04-25,2025-03-31,166824632.21
2025-08-30,2025-06-30,255950821.45
2025-10-31,2025-09-30,373667762.16
