date,period,value
2020-04-29,2020-03-31,4655961.4
2020-08-22,2020-06-30,14721590.2
2020-10-30,2020-09-30,31493867.26
2021-04-28,2020-12-31,29296485.69
2021-04-28,2021-03-31,7695415.81
2021-08-28,2021-06-30,26320162.99
2021-10-28,2021-09-30,50353016.51
2022-04-23,2021-12-31,44120903.73
2022-04-23,2022-03-31,36967858.52
2022-08-27,2022-06-30,106720197.29
2022-10-29,2022-09-30,130052238.1
2023-04-19,2022-12-31,132963096.25
2023-04-28,2023-03-31,28364506.15
2023-08-29,2023-06-30,81113264.76
2023-10-28,2023-09-30,108052596.55
2024-03-23,2023-12-31,162386378.54
2024-04-27,2024-03-31,36198637.64
2024-08-17,2024-06-30,72861185.53
2024-10-26,2024-09-30,91806344.74
2025-03-22,2024-12-31,142580685.15
2025-04-26,2025-03-31,31087244.76
2025-08-23,2025-06-30,53202774.16
2025-10-25,2025-09-30,70029943.18
2026-03-26,2025-12-31,80392891.08
