date,period,value
2020-04-17,2020-03-31,-924487.76
2020-08-06,2020-06-30,126114.55
2020-10-28,2020-09-30,-1746921.04
2021-04-08,2020-12-31,-2818062.11
2021-04-22,2021-03-31,-117082.67
2021-08-05,2021-06-30,-603572.49
2021-10-27,2021-09-30,-367966.66
2022-04-19,2021-12-31,-932285.02
2022-04-28,2022-03-31,-209344.15
2022-08-18,2022-06-30,1615394.81
2022-10-27,2022-09-30,9972131.11
2023-04-29,2022-12-31,-9290116.4
2023-04-29,2023-03-31,14914342.05
2023-08-30,2023-06-30,22045670.88
2023-10-31,2023-09-30,19467757.28
2024-04-24,2023-12-31,22337401.33
2024-04-30,2024-03-31,-62489.7
2024-08-30,2024-06-30,-5610850.03
2024-10-31,2024-09-30,-74818.54
2025-04-22,2024-12-31,4004262.86
2025-04-29,2025-03-31,-8453647.36
2025-08-27,2025-06-30,-9326604.17
2025-10-30,2025-09-30,-13916399.9
