date,period,value
2020-04-29,2020-03-31,271657717.92
2020-08-18,2020-06-30,817866499.89
2020-10-28,2020-09-30,1009224071.94
2021-03-26,2020-12-31,1199578915.84
2021-04-21,2021-03-31,47258436.44
2021-08-12,2021-06-30,778806818.5
2021-10-26,2021-09-30,1449823157.43
2022-03-10,2021-12-31,1510344616.28
2022-04-20,2022-03-31,531977719.87
2022-08-19,2022-06-30,1549212077.83
2022-10-21,2022-09-30,1953629395.5
2023-03-11,2022-12-31,2290673659.51
2023-04-21,2023-03-31,68420022.62
2023-08-12,2023-06-30,188781708.22
2023-10-19,2023-09-30,230370468.66
2024-04-16,2023-12-31,155208439.01
2024-04-27,2024-03-31,29366481.24
2024-08-16,2024-06-30,95108057.3
2024-10-26,2024-09-30,128447134.44
2025-03-20,2024-12-31,372451917.65
2025-04-25,2025-03-31,51964531.77
2025-08-16,2025-06-30,208160009.6
2025-10-25,2025-09-30,295634718.98
2026-03-20,2025-12-31,334888738.08
