date,period,value
2020-04-30,2020-03-31,60281769962.24
2020-08-29,2020-06-30,62226788274.97
2020-10-30,2020-09-30,61781832596.95
2021-04-28,2020-12-31,62327774580.79
2021-04-30,2021-03-31,62479731466.32
2021-08-28,2021-06-30,60949212596.53
2021-10-30,2021-09-30,62551543132.72
2022-04-28,2021-12-31,61785402632.71
2022-04-29,2022-03-31,59038760801.86
2022-08-31,2022-06-30,57044842498.0
2022-10-29,2022-09-30,55928690421.28
2023-04-29,2022-12-31,54135152832.26
2023-04-29,2023-03-31,55950832283.19
2023-08-30,2023-06-30,55640445113.23
2023-10-28,2023-09-30,56151776130.49
2024-04-27,2023-12-31,55084457293.75
2024-04-27,2024-03-31,50132435656.91
2024-08-31,2024-06-30,49736208820.26
2024-10-30,2024-09-30,50053642185.98
2025-04-29,2024-12-31,51467018507.84
2025-04-29,2025-03-31,49977763470.14
2025-08-27,2025-06-30,51159659572.31
2025-10-30,2025-09-30,50149665586.3
