date,period,value
2020-04-30,2020-03-31,1239825621.11
2020-08-28,2020-06-30,1195041665.23
2020-10-29,2020-09-30,1255465110.17
2021-04-20,2020-12-31,1332602039.3
2021-04-27,2021-03-31,1547331324.11
2021-08-25,2021-06-30,1516990477.68
2021-10-29,2021-09-30,1466395981.13
2022-04-26,2021-12-31,1435732722.95
2022-04-28,2022-03-31,1457095531.46
2022-08-26,2022-06-30,1447582651.66
2022-10-28,2022-09-30,1462852815.55
2023-04-18,2022-12-31,1474561327.26
2023-04-27,2023-03-31,1499681990.92
2023-08-25,2023-06-30,1509184278.7
2023-10-27,2023-09-30,1491295824.51
2024-04-27,2023-12-31,1267711208.63
2024-04-27,2024-03-31,1289017423.42
2024-08-27,2024-06-30,1287048066.64
2024-10-26,2024-09-30,1264815750.16
2025-04-22,2024-12-31,1323541701.16
2025-04-22,2025-03-31,1626925328.13
2025-08-26,2025-06-30,1619445692.82
2025-10-21,2025-09-30,1620542878.33
