date,period,value
2020-04-28,2020-03-31,776453251.27
2020-08-28,2020-06-30,786661161.5
2020-10-30,2020-09-30,786567184.14
2021-04-27,2020-12-31,756043264.35
2021-04-27,2021-03-31,815572898.52
2021-08-24,2021-06-30,861402144.07
2021-10-26,2021-09-30,889720843.9
2022-04-26,2021-12-31,811913531.86
2022-04-26,2022-03-31,876812765.1
2022-08-23,2022-06-30,964013362.37
2022-10-31,2022-09-30,969827517.33
2023-04-25,2022-12-31,838799923.17
2023-04-25,2023-03-31,914359115.11
2023-08-29,2023-06-30,1009921534.41
2023-10-28,2023-09-30,1102913673.58
2024-04-23,2023-12-31,1088936154.38
2024-04-23,2024-03-31,1064289738.35
2024-08-31,2024-06-30,1121591200.65
2024-10-29,2024-09-30,1112982551.59
2025-04-29,2024-12-31,940517867.11
2025-04-29,2025-03-31,1000122877.73
2025-08-26,2025-06-30,1027253333.18
2025-10-31,2025-09-30,1025237709.25
