date,period,value
2020-04-28,2020-03-31,-254228.32
2020-08-18,2020-06-30,-327773.05
2020-10-23,2020-09-30,-396723.05
2021-04-24,2020-12-31,-1796.44
2021-04-28,2021-03-31,-42350.0
2021-08-20,2021-06-30,-90090.0
2021-10-23,2021-09-30,-117740.0
2022-03-31,2021-12-31,536917.63
2022-04-29,2022-03-31,-5551.6
2022-08-26,2022-06-30,-19374.06
2022-10-28,2022-09-30,-65899.62
2023-03-31,2022-12-31,-157170.96
2023-04-28,2023-03-31,-12628.51
2023-08-25,2023-06-30,-12628.51
2023-10-27,2023-09-30,-12628.51
2024-03-29,2023-12-31,-858549.38
