date,period,value
2020-04-29,2020-03-31,176744451.13
2020-08-28,2020-06-30,183091573.59
2020-10-30,2020-09-30,189424298.8
2021-04-10,2020-12-31,275556674.31
2021-04-24,2021-03-31,242730349.79
2021-08-28,2021-06-30,205931130.08
2021-10-30,2021-09-30,95887375.92
2022-04-29,2021-12-31,210602303.14
2022-04-29,2022-03-31,35458513.48
2022-08-30,2022-06-30,91675193.72
2022-10-29,2022-09-30,103500212.14
2023-04-28,2022-12-31,202495137.71
2023-04-28,2023-03-31,124797869.28
2023-08-29,2023-06-30,76508657.41
2023-10-31,2023-09-30,52803604.89
2024-04-19,2023-12-31,165491715.69
2024-04-30,2024-03-31,126142044.78
2024-08-30,2024-06-30,59331743.6
2024-10-31,2024-09-30,81371333.24
2025-04-30,2024-12-31,107558441.24
2025-04-30,2025-03-31,67470865.32
2025-08-30,2025-06-30,79126144.43
2025-10-31,2025-09-30,79269679.07
