date,period,value
2020-04-30,2020-03-31,115512873.42
2020-08-29,2020-06-30,254980684.5
2020-10-30,2020-09-30,403908475.77
2021-04-28,2020-12-31,610538496.29
2021-04-30,2021-03-31,167156785.32
2021-08-30,2021-06-30,355160860.24
2021-10-28,2021-09-30,549720643.81
2022-04-22,2021-12-31,784468716.14
2022-04-29,2022-03-31,198641313.05
2022-08-30,2022-06-30,413399466.24
2022-10-28,2022-09-30,631721390.31
2023-04-20,2022-12-31,910242672.26
2023-04-28,2023-03-31,217946786.99
2023-08-30,2023-06-30,440761463.13
2023-10-31,2023-09-30,656117613.47
2024-04-27,2023-12-31,943223870.92
2024-04-30,2024-03-31,215353450.22
2024-08-30,2024-06-30,428007305.85
2024-10-30,2024-09-30,637167329.13
2025-04-29,2024-12-31,928959144.45
2025-04-30,2025-03-31,206399436.17
2025-08-28,2025-06-30,421702458.44
2025-10-30,2025-09-30,649724982.32
