date,period,value
2020-04-30,2020-03-31,256726775.81
2020-08-28,2020-06-30,256642490.46
2020-10-30,2020-09-30,246892660.79
2021-04-30,2020-12-31,236466546.72
2021-04-30,2021-03-31,237478048.1
2021-08-28,2021-06-30,233797306.94
2021-10-30,2021-09-30,234078279.55
2022-04-29,2021-12-31,229720899.66
2022-04-29,2022-03-31,227866499.05
2022-08-31,2022-06-30,240285363.73
2022-10-29,2022-09-30,254109077.36
2023-04-29,2022-12-31,250988741.34
2023-04-29,2023-03-31,245959413.6
2023-08-31,2023-06-30,259052523.81
2023-10-31,2023-09-30,257816264.47
2024-04-30,2023-12-31,254612309.14
2024-04-30,2024-03-31,254724695.93
2024-08-31,2024-06-30,256438594.73
2024-10-31,2024-09-30,253376054.26
2025-04-30,2024-12-31,260184665.29
2025-04-30,2025-03-31,259285539.02
2025-08-30,2025-06-30,256250987.85
2025-10-31,2025-09-30,256531964.81
