date,period,value
2021-04-20,2020-12-31,2100000.0
2021-10-30,2021-09-30,9800000.0
2022-04-30,2021-12-31,9800000.0
2022-08-20,2022-06-30,300000000.0
2022-10-29,2022-09-30,300000000.0
2023-04-18,2022-12-31,300000000.0
2023-04-29,2023-03-31,100000000.0
2023-08-22,2023-06-30,100000000.0
2023-10-24,2023-09-30,100000000.0
2024-03-28,2023-12-31,150000000.0
2024-04-25,2024-03-31,400000000.0
2024-08-27,2024-06-30,468000000.0
2024-10-22,2024-09-30,468000000.0
2025-03-25,2024-12-31,468000000.0
2025-08-19,2025-06-30,300000000.0
2025-10-25,2025-09-30,500000000.0
2026-03-24,2025-12-31,500000000.0
