date,period,value
2020-04-30,2020-03-31,234880310.34
2020-07-31,2020-06-30,401406688.66
2020-10-30,2020-09-30,629404389.53
2021-04-28,2020-12-31,5163692162.69
2021-04-28,2021-03-31,1496376372.64
2021-08-30,2021-06-30,2828371841.34
2021-10-29,2021-09-30,4444228844.27
2022-04-28,2021-12-31,5977184102.48
2022-04-28,2022-03-31,1612885920.54
2022-08-30,2022-06-30,3121225652.03
2022-10-29,2022-09-30,4927182410.37
2023-04-28,2022-12-31,6828803459.24
2023-04-28,2023-03-31,1783229040.0
2023-08-31,2023-06-30,3477161935.86
2023-10-31,2023-09-30,5406155164.45
2024-04-30,2023-12-31,7236852302.4
2024-04-30,2024-03-31,1950777752.31
2024-08-31,2024-06-30,3557745951.86
2024-10-31,2024-09-30,5109755694.58
2025-04-30,2024-12-31,7075895380.28
2025-04-30,2025-03-31,1798114471.13
2025-08-30,2025-06-30,3270209425.63
2025-10-31,2025-09-30,4667958544.74
