date,period,value
2020-04-29,2020-03-31,2484045764.61
2020-08-28,2020-06-30,2245816240.9
2020-10-30,2020-09-30,2385867622.05
2021-04-27,2020-12-31,2447104427.52
2021-04-30,2021-03-31,1902091121.89
2021-08-27,2021-06-30,2149235543.61
2021-10-20,2021-09-30,2209108442.15
2022-03-31,2021-12-31,2139700031.18
2022-04-29,2022-03-31,1907323722.73
2022-08-30,2022-06-30,1726603359.2
2022-10-29,2022-09-30,1779480608.68
2023-03-31,2022-12-31,1528374197.35
2023-04-28,2023-03-31,1605565085.46
2023-08-31,2023-06-30,1844339813.83
2023-10-30,2023-09-30,2248565507.12
2024-03-29,2023-12-31,2332302692.5
2024-04-29,2024-03-31,2452865598.29
2024-08-31,2024-06-30,2444190922.32
2024-10-30,2024-09-30,2809842802.96
2025-03-29,2024-12-31,2847714654.78
2025-04-29,2025-03-31,2989669412.97
2025-08-29,2025-06-30,2842128055.98
2025-10-30,2025-09-30,3199683217.56
2026-03-31,2025-12-31,3069799616.41
