date,period,value
2020-04-30,2020-03-31,526218.32
2020-08-25,2020-06-30,526218.32
2020-10-30,2020-09-30,526218.32
2021-04-07,2020-12-31,28522218.32
2021-04-28,2021-03-31,55863951.58
2021-08-10,2021-06-30,29928951.58
2021-10-30,2021-09-30,29928951.58
2022-03-29,2021-12-31,29928951.58
2022-04-29,2022-03-31,526218.32
2022-08-31,2022-06-30,280775060.0
2022-10-29,2022-09-30,526218.32
2023-03-21,2022-12-31,526218.32
2023-04-26,2023-03-31,60526218.32
2023-08-25,2023-06-30,234066919.72
2023-10-27,2023-09-30,526218.32
2024-03-26,2023-12-31,526218.32
2024-04-25,2024-03-31,526218.32
2024-08-15,2024-06-30,374191340.56
2024-10-26,2024-09-30,526218.32
2025-03-25,2024-12-31,526218.32
2025-04-26,2025-03-31,526218.32
2025-08-15,2025-06-30,10422391.06
2025-10-28,2025-09-30,526218.32
2026-03-31,2025-12-31,526218.32
