date,period,value
2020-04-28,2020-03-31,724739.0
2020-08-07,2020-06-30,623757.15
2020-10-28,2020-09-30,355883.33
2021-03-30,2020-12-31,355883.33
2021-04-23,2021-03-31,355883.33
2021-08-06,2021-06-30,355883.33
2021-10-26,2021-09-30,355883.33
2022-03-30,2021-12-31,355883.33
2022-04-26,2022-03-31,355883.33
2022-08-16,2022-06-30,355883.33
2022-10-28,2022-09-30,355883.33
2023-03-31,2022-12-31,355883.33
2023-04-29,2023-03-31,355883.34
2023-08-04,2023-06-30,355883.33
2023-10-28,2023-09-30,359077.5
2024-03-30,2023-12-31,355883.33
2024-04-27,2024-03-31,355883.33
2024-08-02,2024-06-30,355883.33
2024-10-29,2024-09-30,355883.33
