date,period,value
2020-04-29,2020-03-31,90177129.07
2020-08-18,2020-06-30,209014738.69
2020-10-28,2020-09-30,314683087.91
2021-04-28,2020-12-31,364200964.24
2021-04-28,2021-03-31,112962468.34
2021-08-31,2021-06-30,262465668.33
2021-10-28,2021-09-30,376322413.97
2022-04-26,2021-12-31,413351387.46
2022-04-26,2022-03-31,152800388.19
2022-08-10,2022-06-30,313526002.13
2022-10-28,2022-09-30,456701260.31
2023-04-26,2022-12-31,517034528.24
2023-04-26,2023-03-31,169952931.19
2023-08-10,2023-06-30,364453362.63
2023-10-28,2023-09-30,537876813.86
2024-04-26,2023-12-31,653044169.92
2024-04-26,2024-03-31,220820151.71
2024-08-13,2024-06-30,479096650.48
2024-10-30,2024-09-30,665105059.05
2025-04-26,2024-12-31,827572996.86
2025-04-26,2025-03-31,253668892.56
2025-08-20,2025-06-30,551547542.75
2025-10-30,2025-09-30,757558792.81
