date,period,value
2022-03-31,2021-12-31,9401796.13
2022-04-28,2022-03-31,9294535.86
2022-08-27,2022-06-30,9969149.82
2022-10-28,2022-09-30,9411290.23
2023-03-31,2022-12-31,8489408.95
2023-04-22,2023-03-31,8413711.59
2023-08-30,2023-06-30,7868461.73
2023-10-27,2023-09-30,6452929.4
2024-03-30,2023-12-31,7534169.95
2024-04-25,2024-03-31,7378999.79
2024-08-30,2024-06-30,6550986.24
2024-10-19,2024-09-30,3821940.27
2025-04-24,2024-12-31,3162963.43
2025-04-24,2025-03-31,10344561.83
2025-08-30,2025-06-30,13324425.58
2025-10-30,2025-09-30,13390598.06
