date,period,value
2020-04-30,2020-03-31,90932134.3
2020-08-26,2020-06-30,20215251.85
2020-10-30,2020-09-30,37723141.18
2021-04-22,2020-12-31,30830108.82
2021-04-27,2021-03-31,35521235.99
2021-08-28,2021-06-30,71875351.55
2021-10-30,2021-09-30,66961784.13
2022-03-16,2021-12-31,59226143.45
2022-04-26,2022-03-31,32714489.18
2022-08-31,2022-06-30,38492782.2
2022-10-28,2022-09-30,59373625.42
2023-04-12,2022-12-31,63293338.94
2023-04-28,2023-03-31,67208889.61
2023-08-30,2023-06-30,54926873.93
2023-10-31,2023-09-30,58653398.51
2024-04-13,2023-12-31,65526211.16
2024-04-27,2024-03-31,59088695.14
2024-08-28,2024-06-30,28291367.97
2024-10-29,2024-09-30,74035420.3
2025-03-15,2024-12-31,95511562.83
2025-04-29,2025-03-31,131375375.74
2025-08-28,2025-06-30,57870063.46
2025-10-30,2025-09-30,141703881.47
2026-03-20,2025-12-31,59452001.97
