date,period,value
2020-04-25,2020-03-31,0.1319
2020-08-28,2020-06-30,0.318
2020-10-28,2020-09-30,0.6143
2021-03-26,2020-12-31,0.6318
2021-04-29,2021-03-31,0.2149
2021-08-28,2021-06-30,0.4149
2021-10-28,2021-09-30,0.6149
2022-03-26,2021-12-31,0.5534
2022-04-30,2022-03-31,0.0756
2022-08-31,2022-06-30,0.2189
2022-10-28,2022-09-30,0.4152
2023-03-30,2022-12-31,0.6113
2023-04-26,2023-03-31,0.1529
2023-08-29,2023-06-30,0.286
2023-10-28,2023-09-30,0.4508
2024-03-30,2023-12-31,0.5433
2024-04-30,2024-03-31,0.247
2024-08-28,2024-06-30,0.5357
2024-10-29,2024-09-30,0.7117
2025-03-28,2024-12-31,0.808
2025-04-29,2025-03-31,0.2695
2025-08-30,2025-06-30,0.5011
2025-10-30,2025-09-30,0.5974
2026-03-28,2025-12-31,0.7021
