date,period,value
2020-04-25,2020-03-31,7722907308.38
2020-08-28,2020-06-30,7812202311.9
2020-10-28,2020-09-30,8116659883.27
2021-03-26,2020-12-31,8131208694.81
2021-04-29,2021-03-31,8352156397.73
2021-08-28,2021-06-30,8452244065.56
2021-10-28,2021-09-30,8656735394.93
2022-03-26,2021-12-31,8592763584.86
2022-04-30,2022-03-31,8669679502.46
2022-08-31,2022-06-30,8715053760.85
2022-10-28,2022-09-30,8917422285.21
2023-03-30,2022-12-31,10305444774.83
2023-04-26,2023-03-31,10484637845.42
2023-08-29,2023-06-30,12041121858.11
2023-10-28,2023-09-30,12260128844.06
2024-03-30,2023-12-31,12388360990.17
2024-04-30,2024-03-31,12719618140.35
2024-08-28,2024-06-30,12972609310.33
2024-10-29,2024-09-30,13074541164.86
2025-03-28,2024-12-31,13203924172.51
2025-04-29,2025-03-31,13565337931.7
2025-08-30,2025-06-30,13643330466.99
2025-10-30,2025-09-30,13638317886.42
2026-03-28,2025-12-31,13778841921.79
