date,period,value
2020-04-30,2020-03-31,121096000.0
2020-08-14,2020-06-30,416356365.0
2020-10-23,2020-09-30,515656365.0
2021-04-22,2020-12-31,611799240.49
2021-04-29,2021-03-31,1124803753.6
2021-08-30,2021-06-30,1356123753.6
2021-10-30,2021-09-30,1818473753.6
2022-04-15,2021-12-31,1947011848.46
2022-04-28,2022-03-31,303143140.58
2022-08-25,2022-06-30,728359357.03
2022-10-28,2022-09-30,1305848778.37
2023-04-18,2022-12-31,1513339868.94
2023-04-26,2023-03-31,348458208.33
2023-08-29,2023-06-30,1164522564.57
2023-10-27,2023-09-30,2099804548.4
2024-04-20,2023-12-31,2345621089.32
2024-04-27,2024-03-31,343756703.94
2024-08-28,2024-06-30,669965327.53
2024-10-29,2024-09-30,933467765.19
2025-04-19,2024-12-31,1117240708.2
2025-04-26,2025-03-31,226318903.14
2025-08-27,2025-06-30,395643773.22
2025-10-29,2025-09-30,515643354.3
