date,period,value
2020-04-30,2020-03-31,282578538.35
2020-08-21,2020-06-30,676827673.46
2020-10-30,2020-09-30,1374511841.86
2021-04-09,2020-12-31,2531710712.94
2021-04-30,2021-03-31,520439558.79
2021-08-27,2021-06-30,932916591.5
2021-10-29,2021-09-30,1582494601.11
2022-04-15,2021-12-31,2985764769.08
2022-04-29,2022-03-31,383898155.5
2022-08-12,2022-06-30,1057735779.77
2022-10-28,2022-09-30,1969323849.14
2023-04-21,2022-12-31,3211583531.93
2023-04-28,2023-03-31,698343255.48
2023-08-11,2023-06-30,1398446455.89
2023-10-27,2023-09-30,2261890275.71
2024-04-19,2023-12-31,3514204944.35
2024-04-30,2024-03-31,627260117.54
2024-08-16,2024-06-30,1607536873.84
2024-10-30,2024-09-30,2722522472.63
2025-04-18,2024-12-31,3686286335.61
2025-04-30,2025-03-31,603615232.57
2025-08-20,2025-06-30,1336944269.5
2025-10-30,2025-09-30,2295616383.67
