date,period,value
2020-04-30,2020-03-31,4845569328.0
2020-08-21,2020-06-30,5029075389.23
2020-10-30,2020-09-30,5124566815.83
2021-04-09,2020-12-31,5978948759.1
2021-04-30,2021-03-31,5738045802.14
2021-08-27,2021-06-30,5785317521.07
2021-10-29,2021-09-30,6342908131.55
2022-04-15,2021-12-31,6284715842.9
2022-04-29,2022-03-31,6525697543.27
2022-08-12,2022-06-30,6823527501.67
2022-10-28,2022-09-30,7037702457.57
2023-04-21,2022-12-31,6985501411.99
2023-04-28,2023-03-31,7091303225.67
2023-08-11,2023-06-30,6839349558.77
2023-10-27,2023-09-30,6922608659.55
2024-04-19,2023-12-31,6652311565.67
2024-04-30,2024-03-31,6831864478.56
2024-08-16,2024-06-30,6930595711.02
2024-10-30,2024-09-30,7085035551.17
2025-04-18,2024-12-31,6505938191.52
2025-04-30,2025-03-31,6433633313.39
2025-08-20,2025-06-30,6388935145.02
2025-10-30,2025-09-30,6409600538.03
