date,period,value
2020-04-29,2020-03-31,5066047189.33
2020-08-20,2020-06-30,10994763567.02
2020-10-29,2020-09-30,19001450659.58
2021-04-15,2020-12-31,28926477766.67
2021-04-29,2021-03-31,8688449326.3
2021-08-25,2021-06-30,17687461939.03
2021-10-20,2021-09-30,27215533954.13
2022-04-15,2021-12-31,36350909185.8
2022-04-28,2022-03-31,8674025353.14
2022-08-25,2022-06-30,18076022545.51
2022-10-27,2022-09-30,28784578870.07
2023-04-13,2022-12-31,40758654337.26
2023-04-26,2023-03-31,10085586771.03
2023-08-25,2023-06-30,22513306435.27
2023-10-27,2023-09-30,35084012506.83
2024-04-18,2023-12-31,45085576818.68
2024-04-27,2024-03-31,10443699985.16
2024-08-27,2024-06-30,24443271661.66
2024-10-31,2024-09-30,36967781940.85
2025-04-25,2024-12-31,47503613644.76
2025-04-30,2025-03-31,13126928480.3
2025-08-30,2025-06-30,29554250047.38
2025-10-31,2025-09-30,45179295089.52
