date,period,value
2020-04-28,2020-03-31,270428390.0
2020-08-29,2020-06-30,659220000.0
2020-10-28,2020-09-30,735825950.0
2021-04-27,2020-12-31,802183252.36
2021-04-27,2021-03-31,866425361.11
2021-08-28,2021-06-30,881839064.69
2021-10-26,2021-09-30,875345203.41
2022-04-26,2021-12-31,728731809.16
2022-04-26,2022-03-31,757211659.44
2023-04-25,2022-12-31,200152777.78
2023-04-25,2023-03-31,200152777.78
2023-08-29,2023-06-30,347673944.44
2023-10-27,2023-09-30,341829944.44
2024-04-30,2023-12-31,156398080.0
2024-04-30,2024-03-31,152762350.0
