date,period,value
2020-04-28,2020-03-31,5137996.8
2020-08-29,2020-06-30,16580248.66
2020-10-28,2020-09-30,27029341.23
2021-04-27,2020-12-31,23886470.66
2021-04-27,2021-03-31,-7960890.08
2021-08-28,2021-06-30,-33288421.43
2021-10-26,2021-09-30,-58403768.53
2022-04-26,2021-12-31,-80920672.49
2022-04-26,2022-03-31,-13357839.6
2022-08-30,2022-06-30,-22536973.59
2022-10-28,2022-09-30,-7710356.27
2023-04-25,2022-12-31,11511792.14
2023-04-25,2023-03-31,-2900555.96
2023-08-29,2023-06-30,46738136.35
2023-10-27,2023-09-30,4709446.62
2024-04-30,2023-12-31,-3604444.72
2024-04-30,2024-03-31,12965656.68
2024-08-27,2024-06-30,4856362.39
2024-10-26,2024-09-30,-1503730.13
2025-04-29,2024-12-31,3871429.17
2025-04-29,2025-03-31,50635258.8
2025-08-26,2025-06-30,66711306.58
2025-10-28,2025-09-30,51649220.61
