date,period,value
2020-04-29,2020-03-31,30602633.46
2020-08-14,2020-06-30,33144885.32
2020-10-31,2020-09-30,34024750.64
2021-04-20,2020-12-31,54934153.73
2021-04-20,2021-03-31,53946218.0
2021-08-17,2021-06-30,59189609.34
2021-10-28,2021-09-30,79245005.97
2022-04-19,2021-12-31,108065600.46
2022-04-29,2022-03-31,95672580.09
2022-08-26,2022-06-30,111115947.19
2022-10-31,2022-09-30,110702110.27
2023-04-25,2022-12-31,108521349.46
2023-04-25,2023-03-31,107348016.86
2023-08-26,2023-06-30,99684043.43
2023-10-26,2023-09-30,94748619.52
2024-04-23,2023-12-31,120697494.63
2024-04-26,2024-03-31,117404991.59
2024-08-23,2024-06-30,119467228.91
2024-10-29,2024-09-30,123667005.99
2025-04-23,2024-12-31,136364785.53
2025-04-29,2025-03-31,141868316.53
2025-08-22,2025-06-30,138828805.96
2025-10-30,2025-09-30,143466348.83
2026-04-10,2025-12-31,105534325.49
