date,period,value
2020-04-29,2020-03-31,1206333.5
2020-08-20,2020-06-30,3145625.98
2020-10-28,2020-09-30,3131199.02
2021-04-10,2020-12-31,39071659.08
2021-04-29,2021-03-31,46024088.49
2021-08-20,2021-06-30,27693949.39
2021-10-28,2021-09-30,44117867.6
2022-03-04,2021-12-31,39184837.72
2022-04-12,2022-03-31,22254606.89
2022-08-02,2022-06-30,15854842.24
2022-10-10,2022-09-30,17937269.54
2023-02-21,2022-12-31,11859912.67
2023-04-08,2023-03-31,11269481.65
2023-07-13,2023-06-30,7498598.35
2025-04-03,2024-12-31,37698661.68
2025-04-30,2025-03-31,103905270.62
2025-08-28,2025-06-30,109177870.35
2025-10-31,2025-09-30,42971261.41
