date,period,value
2020-10-27,2020-09-30,137994656.79
2021-03-16,2020-12-31,138715118.97
2021-04-27,2021-03-31,138707742.97
2021-07-29,2021-06-30,120781413.65
2021-10-29,2021-09-30,93970415.81
2022-04-19,2021-12-31,89867127.41
2022-04-29,2022-03-31,89838573.6
2022-08-23,2022-06-30,89815660.05
2022-10-31,2022-09-30,89810901.08
2023-03-21,2022-12-31,89805965.85
2023-04-28,2023-03-31,89801383.14
2023-08-15,2023-06-30,89794509.07
2023-10-24,2023-09-30,89779879.65
2024-03-19,2023-12-31,89776178.23
2024-04-30,2024-03-31,89488525.02
2024-08-16,2024-06-30,89470722.95
2024-10-30,2024-09-30,71877873.94
2025-03-25,2024-12-31,48077919.94
2025-04-30,2025-03-31,47639037.29
2025-08-27,2025-06-30,47607839.61
2025-10-30,2025-09-30,47604843.22
2026-03-31,2025-12-31,47556019.73
