date,period,value
2020-04-30,2020-03-31,151514414.36
2020-08-22,2020-06-30,152010235.48
2020-10-28,2020-09-30,152293729.81
2021-04-30,2020-12-31,137187256.93
2021-04-30,2021-03-31,137368523.17
2021-08-31,2021-06-30,138093253.93
2021-10-28,2021-09-30,138746224.02
2022-04-30,2021-12-31,138959589.14
2022-04-30,2022-03-31,140646772.88
2022-08-20,2022-06-30,140886344.43
2022-10-28,2022-09-30,141470888.64
2023-03-31,2022-12-31,142456127.08
2023-04-28,2023-03-31,143141363.26
2023-08-19,2023-06-30,144035024.1
2023-10-26,2023-09-30,144818196.82
2024-04-18,2023-12-31,145533194.74
2024-04-29,2024-03-31,137348859.02
2024-08-16,2024-06-30,136934734.17
2024-10-26,2024-09-30,136342131.97
2025-04-16,2024-12-31,135115670.71
