date,period,value
2020-04-30,2020-03-31,5134028633.0
2020-08-25,2020-06-30,12146010002.0
2020-10-29,2020-09-30,18724916802.0
2021-03-30,2020-12-31,25222715966.0
2021-04-30,2021-03-31,6985625527.0
2021-08-31,2021-06-30,14264084192.0
2021-10-30,2021-09-30,22056891118.0
2022-03-29,2021-12-31,29205992515.0
2022-04-30,2022-03-31,7246234781.0
2022-08-30,2022-06-30,14410537793.0
2022-10-29,2022-09-30,21385131429.0
2023-03-21,2022-12-31,28214908036.0
2023-04-28,2023-03-31,7070923416.0
2023-08-29,2023-06-30,14139101498.0
2023-10-28,2023-09-30,20664322498.0
2024-04-29,2023-12-31,26485200199.0
2024-04-29,2024-03-31,6417076216.0
2024-08-31,2024-06-30,12713712079.0
2024-10-31,2024-09-30,18412967670.0
2025-04-30,2024-12-31,24277783283.0
2025-04-30,2025-03-31,6368233484.0
2025-08-30,2025-06-30,12472287957.0
2025-10-31,2025-09-30,18231003641.0
2026-03-31,2025-12-31,23895349837.0
