date,period,value
2020-04-30,2020-03-31,67959045.53
2020-08-31,2020-06-30,135542228.56
2020-10-31,2020-09-30,208417091.89
2021-04-30,2020-12-31,273236384.83
2021-04-30,2021-03-31,107577089.44
2021-08-31,2021-06-30,217356920.76
2021-10-29,2021-09-30,314811117.74
2022-04-29,2021-12-31,256351195.69
2022-04-29,2022-03-31,91575071.64
2022-08-31,2022-06-30,104816074.31
2022-10-31,2022-09-30,155652555.01
2023-04-28,2022-12-31,243744231.76
2023-04-28,2023-03-31,82137170.6
2023-08-31,2023-06-30,169523091.8
2023-10-28,2023-09-30,243318586.99
2024-04-30,2023-12-31,352210317.34
2024-04-30,2024-03-31,96941957.58
2024-08-31,2024-06-30,191836723.55
2024-10-31,2024-09-30,271390696.24
2025-04-30,2024-12-31,259554826.97
2025-04-30,2025-03-31,79386714.01
2025-08-30,2025-06-30,154342866.43
2025-10-31,2025-09-30,231338455.36
2026-04-08,2025-12-31,320680883.59
