date,period,value
2020-04-29,2020-03-31,-83377421.68
2020-08-27,2020-06-30,-65675300.62
2020-10-30,2020-09-30,-50622258.89
2021-03-11,2020-12-31,-65332090.14
2021-04-29,2021-03-31,-70147240.59
2021-08-28,2021-06-30,-76033835.11
2021-10-29,2021-09-30,-67356163.27
2022-03-30,2021-12-31,-75449340.07
2022-04-30,2022-03-31,-76019752.41
2022-08-30,2022-06-30,-76309837.43
2022-10-29,2022-09-30,-69778522.09
2023-03-31,2022-12-31,-87886594.25
2023-04-24,2023-03-31,-69353304.56
2023-08-30,2023-06-30,-63494997.44
2023-10-28,2023-09-30,-59164920.65
2024-03-30,2023-12-31,-21819177.0
2024-04-27,2024-03-31,51200453.73
2024-08-30,2024-06-30,180178222.74
2024-10-31,2024-09-30,193711450.29
2025-03-31,2024-12-31,464251346.43
2025-04-29,2025-03-31,444185918.42
2025-08-30,2025-06-30,625544788.59
2025-10-25,2025-09-30,619449564.21
2026-03-27,2025-12-31,767269912.34
