date,period,value
2020-04-28,2020-03-31,5575616.45
2020-08-08,2020-06-30,5664241.33
2020-10-30,2020-09-30,36449332.52
2021-03-26,2020-12-31,55211815.98
2021-04-28,2021-03-31,7304523.3
2021-08-13,2021-06-30,29093142.8
2021-10-27,2021-09-30,47952444.51
2022-04-28,2021-12-31,40524523.13
2022-04-29,2022-03-31,22969277.8
2022-08-17,2022-06-30,35322908.22
2022-10-26,2022-09-30,54075824.01
2023-04-13,2022-12-31,35742314.89
2023-04-25,2023-03-31,7014176.25
2023-08-18,2023-06-30,19465109.89
2023-10-26,2023-09-30,31477252.03
2024-03-28,2023-12-31,21067448.86
2024-04-27,2024-03-31,64715832.08
2024-08-08,2024-06-30,66471611.12
2024-10-26,2024-09-30,92033337.9
2025-03-29,2024-12-31,58324934.28
2025-04-22,2025-03-31,17137625.11
2025-08-08,2025-06-30,18796499.71
2025-10-28,2025-09-30,27710762.05
2026-03-31,2025-12-31,99983746.64
