date,period,value
2020-04-30,2020-03-31,29596540.85
2020-08-29,2020-06-30,59412360.1
2020-10-31,2020-09-30,93069310.72
2021-03-31,2020-12-31,127403151.29
2021-04-30,2021-03-31,32400883.07
2021-08-31,2021-06-30,70980246.59
2021-10-30,2021-09-30,100028050.02
2022-03-31,2021-12-31,119473722.18
2022-04-30,2022-03-31,20468963.19
2022-08-31,2022-06-30,38900416.92
2022-10-31,2022-09-30,58403140.21
2023-03-31,2022-12-31,85067513.01
2023-04-29,2023-03-31,24378634.85
2023-08-31,2023-06-30,48610042.87
2023-10-31,2023-09-30,72641534.53
2024-03-29,2023-12-31,102417130.26
2024-04-30,2024-03-31,24266756.41
2024-08-30,2024-06-30,46510468.72
2024-10-31,2024-09-30,67523343.57
2025-03-29,2024-12-31,87474335.46
2025-04-30,2025-03-31,21387457.13
2025-08-30,2025-06-30,43024544.38
2025-10-31,2025-09-30,62872946.74
2026-03-31,2025-12-31,90302977.91
