date,period,value
2020-04-30,2020-03-31,5401738207.9
2020-08-29,2020-06-30,5556831208.99
2020-10-31,2020-09-30,5160447875.42
2021-03-31,2020-12-31,5278215439.53
2021-04-30,2021-03-31,5805581277.82
2021-08-31,2021-06-30,6267952785.62
2021-10-30,2021-09-30,4966577998.08
2022-03-31,2021-12-31,5413365060.36
2022-04-30,2022-03-31,5622670203.23
2022-08-31,2022-06-30,5930913374.49
2022-10-31,2022-09-30,5355668338.69
2023-03-31,2022-12-31,5573148568.91
2023-04-29,2023-03-31,6908753012.64
2023-08-31,2023-06-30,5801111820.61
2023-10-31,2023-09-30,5275520044.83
2024-03-29,2023-12-31,5435881995.84
2024-04-30,2024-03-31,5762056975.34
2024-08-30,2024-06-30,5968427756.39
2024-10-31,2024-09-30,5822119738.05
2025-03-29,2024-12-31,5745124147.47
2025-04-30,2025-03-31,5941690124.66
2025-08-30,2025-06-30,5664669969.19
2025-10-31,2025-09-30,5383549882.24
2026-03-31,2025-12-31,5285884842.57
