date,period,value
2020-04-29,2020-03-31,48635921.14
2020-08-29,2020-06-30,48635921.14
2020-10-29,2020-09-30,48635921.14
2021-03-31,2020-12-31,48635921.14
2021-04-28,2021-03-31,48635921.14
2021-08-28,2021-06-30,48635921.14
2021-10-28,2021-09-30,48635921.14
2022-03-31,2021-12-31,48635921.14
2022-04-26,2022-03-31,48635921.14
2022-08-26,2022-06-30,48635921.14
2022-10-28,2022-09-30,48635921.14
2023-03-31,2022-12-31,47589053.16
2023-04-28,2023-03-31,47589053.16
2023-08-22,2023-06-30,47589053.16
2023-10-27,2023-09-30,47589053.16
2024-04-30,2023-12-31,47589053.16
2024-04-30,2024-03-31,47589053.16
2024-08-23,2024-06-30,43958209.39
2024-10-30,2024-09-30,43958209.39
2025-04-30,2024-12-31,43958209.39
2025-04-30,2025-03-31,43958209.39
2025-08-23,2025-06-30,43958209.39
2025-10-30,2025-09-30,43958209.39
