date,period,value
2020-04-30,2020-03-31,327164000.0
2020-08-31,2020-06-30,2326037000.0
2020-10-31,2020-09-30,5882765000.0
2021-03-24,2020-12-31,7361727119.54
2021-04-30,2021-03-31,2615343778.77
2021-08-31,2021-06-30,7578975778.77
2021-10-30,2021-09-30,8100475778.77
2022-03-26,2021-12-31,11089123050.59
2022-04-30,2022-03-31,671500000.0
2022-08-27,2022-06-30,6457499112.76
2022-10-29,2022-09-30,8801130529.6
2023-03-25,2022-12-31,13744961946.73
2023-04-29,2023-03-31,1360133744.24
2023-08-26,2023-06-30,3815704340.86
2023-10-31,2023-09-30,6042493057.62
2024-03-30,2023-12-31,6773032897.63
2024-04-27,2024-03-31,1191716302.38
2024-08-31,2024-06-30,4895116302.38
2024-10-31,2024-09-30,7119598302.38
2025-03-29,2024-12-31,7733761983.39
2025-04-30,2025-03-31,527688000.0
2025-08-30,2025-06-30,3486267426.02
2025-10-31,2025-09-30,6552515204.65
2026-03-28,2025-12-31,9696645204.65
