date,period,value
2020-04-30,2020-03-31,564945604.48
2020-08-29,2020-06-30,565471606.25
2020-10-31,2020-09-30,561894323.3
2021-04-28,2020-12-31,615924884.58
2021-04-30,2021-03-31,596220332.37
2021-08-17,2021-06-30,583073533.24
2021-10-30,2021-09-30,548923998.74
2022-04-30,2021-12-31,711878077.74
2022-04-30,2022-03-31,606073760.71
2022-08-31,2022-06-30,621291637.66
2022-10-29,2022-09-30,594026110.98
2023-04-15,2022-12-31,689247960.56
2023-04-29,2023-03-31,628696446.43
2023-08-31,2023-06-30,609252359.78
2023-10-31,2023-09-30,587548879.9
2024-03-30,2023-12-31,600588018.69
2024-04-30,2024-03-31,561958067.27
2024-08-31,2024-06-30,607506832.68
2024-10-31,2024-09-30,609450187.57
2025-04-19,2024-12-31,563332248.74
2025-04-30,2025-03-31,575142227.37
2025-08-30,2025-06-30,613876135.95
2025-10-31,2025-09-30,605178831.27
