date,period,value
2020-04-29,2020-03-31,148255275.39
2020-08-28,2020-06-30,261243186.41
2020-10-30,2020-09-30,315504353.31
2021-03-27,2020-12-31,176725605.28
2021-04-29,2021-03-31,375969973.51
2021-08-28,2021-06-30,336552498.02
2021-10-29,2021-09-30,339754401.67
2022-03-30,2021-12-31,687578820.77
2022-04-28,2022-03-31,-24370674.43
2022-08-30,2022-06-30,236525131.31
2022-10-29,2022-09-30,262347021.39
2023-03-29,2022-12-31,205754397.36
2023-04-28,2023-03-31,140466560.88
2023-08-30,2023-06-30,179635394.31
2023-10-28,2023-09-30,548454382.49
2024-03-27,2023-12-31,610956577.39
2024-04-27,2024-03-31,-55392966.55
2024-08-28,2024-06-30,25040923.73
2024-10-31,2024-09-30,71800384.38
2025-04-12,2024-12-31,129834337.65
2025-04-26,2025-03-31,159843982.08
2025-08-28,2025-06-30,-396490392.56
2025-10-31,2025-09-30,-544760657.91
2026-04-02,2025-12-31,-572440236.48
