date,period,value
2020-04-30,2020-03-31,79993000.0
2020-08-28,2020-06-30,783101960.0
2020-10-30,2020-09-30,987685654.73
2021-03-25,2020-12-31,980006000.0
2021-04-29,2021-03-31,25504383.24
2021-08-28,2021-06-30,25504383.24
2022-04-23,2021-12-31,679481962.74
2022-08-30,2022-06-30,609752876.71
2022-10-28,2022-09-30,609752876.71
2023-04-22,2022-12-31,912885616.43
2024-04-26,2023-12-31,9300000.0
2025-04-26,2025-03-31,40005369.2
2025-08-22,2025-06-30,80392169.2
2025-10-25,2025-09-30,131377446.98
