date,period,value
2020-04-29,2020-03-31,1566780372.72
2020-08-29,2020-06-30,1974048533.7
2020-10-31,2020-09-30,2300708048.85
2021-03-25,2020-12-31,2327665513.81
2021-04-29,2021-03-31,1422284423.24
2021-08-28,2021-06-30,1320663934.7
2021-10-29,2021-09-30,1331417660.43
2022-03-25,2021-12-31,1055951022.01
2022-04-29,2022-03-31,1060965362.82
2022-08-27,2022-06-30,1052964111.82
2022-10-28,2022-09-30,3024048511.74
2023-03-30,2022-12-31,1028480724.83
2023-04-29,2023-03-31,976236593.73
2023-08-24,2023-06-30,343181032.29
2023-10-28,2023-09-30,227480991.51
2024-04-18,2023-12-31,198360594.12
2024-04-30,2024-03-31,199441242.14
2024-08-30,2024-06-30,197318891.55
2024-10-31,2024-09-30,231228423.81
2025-04-17,2024-12-31,202290097.0
2025-04-30,2025-03-31,222892414.95
2025-08-29,2025-06-30,170681253.73
2025-10-31,2025-09-30,2305186272.67
2026-03-25,2025-12-31,160280261.59
