date,period,value
2021-04-29,2021-03-31,3255306195.11
2021-08-28,2021-06-30,3185142599.17
2021-10-30,2021-09-30,3173838270.77
2022-03-26,2021-12-31,3110129336.51
2022-04-23,2022-03-31,2910529076.95
2022-08-30,2022-06-30,3003586167.86
2022-10-29,2022-09-30,2946918973.03
2023-04-08,2022-12-31,2890733388.66
2023-04-29,2023-03-31,2892787796.12
2023-05-11,2022-11-30,2846688914.85
2023-08-31,2023-06-30,2828181668.14
2023-10-28,2023-09-30,2809784687.06
2024-04-19,2023-12-31,2669407776.54
2024-04-30,2024-03-31,2572254308.94
2024-08-31,2024-06-30,2550534476.88
2024-10-31,2024-09-30,2493927378.69
2025-04-19,2024-12-31,2428103209.53
2025-04-29,2025-03-31,2357611174.9
2025-08-28,2025-06-30,2287269365.44
2025-10-30,2025-09-30,2169811259.51
