date,period,value
2020-04-30,2020-03-31,93719522.27
2020-08-29,2020-06-30,155684916.23
2020-10-31,2020-09-30,123138211.41
2021-04-29,2020-12-31,120777282.58
2021-04-29,2021-03-31,-63599716.56
2021-08-27,2021-06-30,-65828879.01
2021-10-30,2021-09-30,-83264966.75
2022-04-30,2021-12-31,-107978931.41
2022-04-30,2022-03-31,-36479997.66
2022-08-26,2022-06-30,-25970430.93
2022-10-28,2022-09-30,-84031890.55
2023-04-22,2022-12-31,-102988724.3
2023-04-27,2023-03-31,-106052041.87
2023-08-30,2023-06-30,-256834830.19
2023-10-25,2023-09-30,-377338628.73
2024-04-30,2023-12-31,-201310883.57
2024-04-30,2024-03-31,-4101183.79
2024-08-23,2024-06-30,-252846329.25
2024-10-26,2024-09-30,-254705483.04
2025-04-25,2024-12-31,-246783291.35
2025-04-25,2025-03-31,-7115779.42
2025-08-19,2025-06-30,-7140394.92
2025-10-25,2025-09-30,-8921932.44
