date,period,value
2020-04-17,2020-03-31,473963.48
2020-08-08,2020-06-30,2788812.87
2020-10-23,2020-09-30,2935652.42
2021-04-29,2020-12-31,4460878.29
2021-04-29,2021-03-31,1017113.99
2021-08-25,2021-06-30,1873110.81
2021-10-23,2021-09-30,2211175.92
2022-04-28,2021-12-31,8165467.79
2022-04-28,2022-03-31,40866.24
2022-08-27,2022-06-30,1281110.52
2022-10-27,2022-09-30,1383827.27
2023-04-22,2022-12-31,1564657.28
2023-04-27,2023-03-31,130553.68
2023-08-19,2023-06-30,678789.35
2023-10-27,2023-09-30,1056378.17
2024-03-30,2023-12-31,8130025.38
2024-04-26,2024-03-31,200705.06
2024-08-14,2024-06-30,579105.16
2024-10-26,2024-09-30,3458318.97
2025-03-28,2024-12-31,8785487.37
2025-04-24,2025-03-31,138827.07
2025-08-14,2025-06-30,370543.27
2025-10-25,2025-09-30,755839.43
