date,period,value
2020-04-29,2020-03-31,23072178.32
2020-08-22,2020-06-30,38243101.84
2020-10-24,2020-09-30,74385960.85
2021-03-18,2020-12-31,39956876.66
2021-04-29,2021-03-31,69478540.7
2021-08-21,2021-06-30,53024890.45
2021-10-28,2021-09-30,58698744.76
2022-03-25,2021-12-31,11492560.87
2022-04-27,2022-03-31,16522009.65
2022-08-20,2022-06-30,11479684.46
2022-10-28,2022-09-30,13015092.84
2023-03-25,2022-12-31,11835881.06
2023-04-25,2023-03-31,17403151.67
2023-08-25,2023-06-30,34730553.9
2023-10-28,2023-09-30,24483083.59
2024-03-23,2023-12-31,19387390.54
2024-04-27,2024-03-31,9044008.99
2024-08-17,2024-06-30,48611010.34
2024-10-29,2024-09-30,20093700.64
2025-03-22,2024-12-31,12527892.1
2025-04-26,2025-03-31,9669497.83
2025-08-23,2025-06-30,24781360.17
2025-10-31,2025-09-30,24649671.66
2026-03-21,2025-12-31,22214623.89
