date,period,value
2020-04-30,2020-03-31,4171148.86
2020-08-29,2020-06-30,7926870.32
2020-10-31,2020-09-30,11200835.34
2021-04-17,2020-12-31,12779289.78
2021-04-30,2021-03-31,2600954.69
2021-08-28,2021-06-30,5428950.69
2021-10-30,2021-09-30,7767291.49
2022-03-19,2021-12-31,7708483.08
2022-04-28,2022-03-31,2268825.3
2022-08-27,2022-06-30,4863553.96
2022-10-29,2022-09-30,7924579.13
2023-03-18,2022-12-31,6264405.44
2023-04-18,2023-03-31,3199664.19
2023-08-29,2023-06-30,-40767735.08
2023-10-31,2023-09-30,-61465911.54
2024-04-26,2023-12-31,-83114693.3
2024-04-26,2024-03-31,-26941428.65
2024-08-29,2024-06-30,-43987063.55
2024-10-29,2024-09-30,-61510461.96
2025-04-26,2024-12-31,-70178593.66
2025-04-26,2025-03-31,-10039444.5
2025-08-28,2025-06-30,-34708172.2
2025-10-29,2025-09-30,-45575355.89
