date,period,value
2020-04-25,2020-03-31,2026885088.56
2020-08-22,2020-06-30,2003077508.9
2020-10-24,2020-09-30,1904657170.77
2021-04-24,2020-12-31,2651479737.79
2021-04-24,2021-03-31,2306365000.36
2021-08-25,2021-06-30,2371922543.54
2021-10-27,2021-09-30,2088156787.72
2022-04-27,2021-12-31,1994857247.45
2022-04-27,2022-03-31,1769440789.03
2022-08-24,2022-06-30,1753384379.66
2022-10-27,2022-09-30,1688347251.8
2023-04-26,2022-12-31,1652290381.61
2023-04-26,2023-03-31,1768849011.02
2023-08-23,2023-06-30,1714288599.65
2023-10-27,2023-09-30,1893304348.25
2024-04-27,2023-12-31,2008919316.25
2024-04-27,2024-03-31,2064028224.27
2024-08-17,2024-06-30,1948790356.28
2024-10-26,2024-09-30,2290155433.29
2025-04-25,2024-12-31,2092514849.98
2025-04-25,2025-03-31,1962535761.9
2025-08-14,2025-06-30,2174181843.09
2025-10-25,2025-09-30,2161791176.78
