date,period,value
2020-08-26,2020-06-30,866424.34
2021-10-23,2021-09-30,71204.74
2022-04-26,2022-03-31,7721.36
2022-08-11,2022-06-30,405152.06
2022-10-28,2022-09-30,3239061.71
2023-04-18,2022-12-31,303324.1
2023-04-25,2023-03-31,98196.84
2023-08-26,2023-06-30,424677.97
2023-10-27,2023-09-30,334761.62
2024-04-10,2023-12-31,47208.61
2024-04-23,2024-03-31,71498.18
2024-08-24,2024-06-30,46585.37
2024-10-26,2024-09-30,49704.61
2025-04-26,2024-12-31,247541.28
2025-04-26,2025-03-31,18415.24
