date,period,value
2020-04-29,2020-03-31,210392264.29
2020-08-22,2020-06-30,210392264.29
2020-10-29,2020-09-30,210392264.29
2021-04-29,2020-12-31,211869564.0
2021-04-29,2021-03-31,211869564.0
2021-08-11,2021-06-30,211869564.0
2021-10-30,2021-09-30,211869564.0
2022-03-25,2021-12-31,227295430.16
2022-04-19,2022-03-31,227295430.16
2022-08-18,2022-06-30,227295430.16
2022-10-29,2022-09-30,227295430.16
2023-03-23,2022-12-31,228566200.0
2023-04-26,2023-03-31,228566200.0
2023-08-29,2023-06-30,228566200.0
2023-10-28,2023-09-30,228566200.0
2024-03-26,2023-12-31,205612100.0
2024-04-27,2024-03-31,205612100.0
2024-08-24,2024-06-30,205612100.0
2024-10-31,2024-09-30,205612100.0
2025-03-22,2024-12-31,213814400.0
2025-04-22,2025-03-31,213814400.0
2025-08-22,2025-06-30,213814400.0
2025-10-31,2025-09-30,213814400.0
2026-03-25,2025-12-31,51608000.0
