date,period,value
2020-04-25,2020-03-31,38326021.13
2020-08-18,2020-06-30,80262027.19
2020-10-28,2020-09-30,120220611.33
2021-03-10,2020-12-31,199624070.47
2021-04-29,2021-03-31,41182955.97
2021-08-13,2021-06-30,96808930.06
2021-10-28,2021-09-30,142719789.34
2022-03-29,2021-12-31,232384770.78
2022-04-23,2022-03-31,70194941.62
2022-08-24,2022-06-30,150343233.38
2022-10-25,2022-09-30,205225381.44
2023-04-04,2022-12-31,306821204.25
2023-04-25,2023-03-31,56003334.25
2023-08-15,2023-06-30,114023744.46
2023-10-20,2023-09-30,182092445.66
2024-03-19,2023-12-31,298280753.43
2024-04-25,2024-03-31,76839436.37
2024-08-30,2024-06-30,137670359.07
2024-10-30,2024-09-30,204043850.7
2025-03-25,2024-12-31,281671605.39
2025-04-22,2025-03-31,61500797.77
2025-08-27,2025-06-30,116708058.94
2025-10-31,2025-09-30,172182570.58
2026-03-31,2025-12-31,267492894.96
