date,period,value
2020-04-25,2020-03-31,584295363.96
2020-08-18,2020-06-30,560087769.94
2020-10-28,2020-09-30,678825205.19
2021-03-10,2020-12-31,528698709.68
2021-04-29,2021-03-31,533972929.84
2021-08-13,2021-06-30,698282015.79
2021-10-28,2021-09-30,613312835.75
2022-03-29,2021-12-31,1129422476.85
2022-04-23,2022-03-31,702961372.22
2022-08-24,2022-06-30,740659061.37
2022-10-25,2022-09-30,626538634.05
2023-04-04,2022-12-31,461247342.45
2023-04-25,2023-03-31,458670348.35
2023-08-15,2023-06-30,680694909.15
2023-10-20,2023-09-30,605702324.8
2024-03-19,2023-12-31,670597410.66
2024-04-25,2024-03-31,662053238.32
2024-08-30,2024-06-30,782022941.77
2024-10-30,2024-09-30,746584907.83
2025-03-25,2024-12-31,770464830.28
2025-04-22,2025-03-31,620978722.53
2025-08-27,2025-06-30,633193299.52
2025-10-31,2025-09-30,668077423.7
2026-03-31,2025-12-31,805650718.05
