date,period,value
2020-04-25,2020-03-31,92099205.0
2020-08-18,2020-06-30,48279978.0
2020-10-28,2020-09-30,48279978.0
2021-03-10,2020-12-31,48279978.0
2021-04-29,2021-03-31,48279978.0
2021-08-13,2021-06-30,48279978.0
2022-03-29,2021-12-31,108615400.0
2022-04-23,2022-03-31,108615400.0
2022-08-24,2022-06-30,108615400.0
2022-10-25,2022-09-30,108615400.0
2023-04-04,2022-12-31,90253380.0
2023-04-25,2023-03-31,90253380.0
2023-08-15,2023-06-30,90253380.0
2023-10-20,2023-09-30,90253380.0
2024-03-19,2023-12-31,50123160.0
2024-04-25,2024-03-31,49981760.0
2024-08-30,2024-06-30,49792760.0
2024-10-30,2024-09-30,43366760.0
