date,period,value
2020-08-26,2020-06-30,285000.0
2020-10-28,2020-09-30,285000.0
2021-04-10,2020-12-31,587100.0
2021-04-29,2021-03-31,680964.52
2021-08-28,2021-06-30,6636390.81
2021-10-29,2021-09-30,6809645.24
2022-04-09,2021-12-31,7078469.24
2024-04-09,2023-12-31,11935979.97
2024-04-30,2024-03-31,53240000.0
2024-08-29,2024-06-30,53240000.0
2024-10-26,2024-09-30,53240000.0
2025-04-09,2024-12-31,53240000.0
2025-04-30,2025-03-31,330140.84
2025-08-28,2025-06-30,18730140.84
2025-10-25,2025-09-30,22330140.84
2026-03-31,2025-12-31,22330140.84
