date,period,value
2020-04-22,2020-03-31,2111994000.0
2020-08-28,2020-06-30,2608281000.0
2020-10-30,2020-09-30,2134698000.0
2021-04-30,2020-12-31,1626919000.0
2021-04-30,2021-03-31,1453246000.0
2021-08-28,2021-06-30,1397605000.0
2021-10-29,2021-09-30,1073318000.0
2022-04-29,2021-12-31,1498444000.0
2022-04-29,2022-03-31,898649000.0
2022-08-31,2022-06-30,1100600000.0
2022-10-29,2022-09-30,1607606000.0
2023-04-28,2022-12-31,2140349000.0
2023-04-28,2023-03-31,2134519000.0
2023-08-31,2023-06-30,2191296000.0
2023-10-31,2023-09-30,1736394000.0
2024-04-30,2023-12-31,1501052000.0
2024-04-30,2024-03-31,1775858000.0
2024-08-30,2024-06-30,1464143000.0
2024-10-31,2024-09-30,1463456000.0
2025-04-30,2024-12-31,1900061000.0
2025-04-30,2025-03-31,1837445000.0
2025-08-29,2025-06-30,1879931000.0
2025-10-31,2025-09-30,1878246000.0
