date,period,value
2020-04-22,2020-03-31,2303337000.0
2020-08-28,2020-06-30,22722232000.0
2020-10-30,2020-09-30,32590832000.0
2021-04-30,2020-12-31,38514189000.0
2021-04-30,2021-03-31,8272213000.0
2021-08-28,2021-06-30,12482830000.0
2021-10-29,2021-09-30,11546825000.0
2022-04-29,2021-12-31,21678089000.0
2022-04-29,2022-03-31,5352000.0
2022-08-31,2022-06-30,23190724000.0
2022-10-29,2022-09-30,29391679000.0
2023-04-28,2022-12-31,51486238000.0
2023-04-28,2023-03-31,872445000.0
2023-08-31,2023-06-30,89495000.0
2023-10-31,2023-09-30,7981649000.0
2024-04-30,2023-12-31,13733696000.0
2024-04-30,2024-03-31,4545764000.0
2024-08-30,2024-06-30,17341394000.0
2024-10-31,2024-09-30,20584413000.0
2025-04-30,2024-12-31,28244147000.0
2025-04-30,2025-03-31,30065166000.0
2025-08-29,2025-06-30,31830331000.0
2025-10-31,2025-09-30,40640991000.0
