date,period,value
2020-04-30,2020-03-31,89839085.83
2020-08-29,2020-06-30,163597587.71
2020-10-30,2020-09-30,232974818.23
2021-03-16,2020-12-31,298581653.53
2021-04-30,2021-03-31,277468253.24
2021-08-31,2021-06-30,659382557.73
2021-10-30,2021-09-30,953484820.53
2022-04-28,2021-12-31,1463115109.14
2022-04-30,2022-03-31,496983790.73
2022-08-30,2022-06-30,816600338.94
2022-10-29,2022-09-30,1079633177.15
2023-04-25,2022-12-31,1776915050.82
2023-04-29,2023-03-31,477909878.0
2023-08-31,2023-06-30,1340394519.67
2023-10-28,2023-09-30,2322139607.46
2024-04-20,2023-12-31,2627990478.76
2024-04-30,2024-03-31,895883654.66
2024-08-10,2024-06-30,1565995750.05
2024-10-29,2024-09-30,2484235563.54
2025-03-29,2024-12-31,3359888246.62
2025-04-29,2025-03-31,532570515.38
2025-08-23,2025-06-30,1224178148.68
2025-10-25,2025-09-30,1841727305.54
