date,period,value
2020-04-28,2020-03-31,96828791.78
2020-08-08,2020-06-30,97353880.43
2020-10-30,2020-09-30,103144392.59
2021-03-31,2020-12-31,101721879.53
2021-04-28,2021-03-31,104570827.0
2021-08-12,2021-06-30,82881012.74
2021-10-30,2021-09-30,89021638.32
2022-03-31,2021-12-31,99981237.39
2022-04-30,2022-03-31,96099192.02
2022-08-06,2022-06-30,96291147.0
2022-10-29,2022-09-30,96934808.01
2023-04-25,2022-12-31,95011373.42
2023-04-25,2023-03-31,95252268.01
2023-08-31,2023-06-30,96361558.9
2023-10-31,2023-09-30,5888418.75
2024-04-20,2023-12-31,4917731.29
2024-04-30,2024-03-31,4880664.24
2024-08-31,2024-06-30,5252109.77
2024-10-31,2024-09-30,5088852.58
2025-04-12,2024-12-31,4014040.69
2025-04-30,2025-03-31,25532107.53
2025-08-30,2025-06-30,32709860.45
2025-10-31,2025-09-30,55178301.09
2026-03-31,2025-12-31,50157919.91
