date,period,value
2020-04-29,2020-03-31,92619675.97
2020-08-29,2020-06-30,217994678.25
2020-10-31,2020-09-30,396044851.82
2021-04-29,2020-12-31,1044384591.28
2021-04-29,2021-03-31,161567198.24
2021-08-28,2021-06-30,363097415.85
2021-10-29,2021-09-30,467009822.21
2022-04-29,2021-12-31,774168229.89
2022-04-29,2022-03-31,88013806.23
2022-08-30,2022-06-30,182939279.84
2022-10-29,2022-09-30,318998863.83
2023-04-28,2022-12-31,1594104429.72
2023-04-28,2023-03-31,124795796.31
2023-08-26,2023-06-30,428382245.57
2023-10-28,2023-09-30,624379127.92
2024-04-27,2023-12-31,690225285.16
2024-04-27,2024-03-31,134591962.04
2024-08-29,2024-06-30,262897874.54
2024-10-30,2024-09-30,356576779.71
2025-04-26,2024-12-31,530574215.41
2025-04-26,2025-03-31,85760658.73
2025-08-28,2025-06-30,149128394.97
2025-10-30,2025-09-30,231465640.18
