date,period,value
2021-03-27,2020-12-31,214725.0
2022-04-23,2021-12-31,82514.28
2022-04-30,2022-03-31,82514.28
2022-08-27,2022-06-30,82514.28
2022-10-29,2022-09-30,177818.28
2023-03-30,2022-12-31,74262.85
2023-04-28,2023-03-31,74262.85
2023-08-12,2023-06-30,74262.85
2023-10-31,2023-09-30,74262.85
2024-03-30,2023-12-31,74262.85
2024-04-27,2024-03-31,95954.36
2024-08-31,2024-06-30,74262.85
2024-10-31,2024-09-30,74262.85
2025-03-29,2024-12-31,71537.61
2025-04-26,2025-03-31,71537.61
2025-08-28,2025-06-30,71537.61
2025-10-30,2025-09-30,166841.61
2026-03-31,2025-12-31,63589.01
