date,period,value
2020-04-22,2020-03-31,-43135126.87
2020-08-27,2020-06-30,-83058965.87
2020-10-28,2020-09-30,-85087661.58
2021-03-30,2020-12-31,-1856397497.8
2021-04-27,2021-03-31,76136863.59
2021-08-24,2021-06-30,51242531.66
2021-10-28,2021-09-30,86984406.07
2022-03-29,2021-12-31,-861602880.09
2022-04-30,2022-03-31,38816914.78
2022-10-27,2022-09-30,147166519.28
2023-03-08,2022-12-31,204877033.3
2023-04-28,2023-03-31,46103798.07
2023-08-23,2023-06-30,-815178031.24
2023-10-28,2023-09-30,-741154250.0
2024-03-29,2023-12-31,-2834026000.0
2024-04-19,2024-03-31,115246000.0
2024-08-27,2024-06-30,199094000.0
2024-10-30,2024-09-30,297094000.0
2025-03-29,2024-12-31,268307000.0
2025-04-23,2025-03-31,84682000.0
2025-08-29,2025-06-30,174340000.0
2025-10-29,2025-09-30,229273000.0
2026-03-28,2025-12-31,380897000.0
