date,period,value
2022-06-22,2020-12-31,280096500.0
2022-06-22,2021-12-31,219768200.0
2023-01-13,2022-06-30,102954100.0
2023-06-30,2022-12-31,137061666.75
2023-12-05,2022-09-30,131481795.12
2023-12-05,2023-06-30,109798207.33
2023-12-05,2023-09-30,112481795.12
2024-04-11,2023-12-31,114244680.35
2024-04-30,2023-03-31,82867989.83
2024-04-30,2024-03-31,2003818.35
2024-08-30,2024-06-30,2003818.35
2024-10-29,2024-09-30,2003818.35
2025-04-11,2024-12-31,2032024.46
2025-10-28,2025-09-30,2055932.11
2026-04-11,2025-12-31,3580006.4
